Name,Tripadvisor Rating,Hotel Class (Stars),Number of Reviews,Tripadvisor URL
The London EDITION,4.5,5,1710,https://www.tripadvisor.com/Hotel_Review-g186338-d4889797-Reviews-The_London_EDITION-London_England.html
The Resident Soho,4.8,4,4433,https://www.tripadvisor.com/Hotel_Review-g186338-d2406203-Reviews-The_Resident_Soho-London_England.html
Radisson Blu Hotel London Mercer Street,4.5,4,5040,https://www.tripadvisor.com/Hotel_Review-g186338-d1799756-Reviews-Radisson_Blu_Hotel_London_Mercer_Street-London_England.html
The Bloomsbury Hotel,4.7,5,5714,https://www.tripadvisor.com/Hotel_Review-g186338-d192771-Reviews-The_Bloomsbury-London_England.html
The Marylebone,4.7,5,6137,https://www.tripadvisor.com/Hotel_Review-g186338-d192702-Reviews-The_Marylebone-London_England.html
The BoTree London (Curio Collection by Hilton),4.6,5,145,https://www.tripadvisor.com/Hotel_Review-g186338-d25257438-Reviews-The_BoTree_London-London_England.html
The Welbeck Hotel,4.6,3.5,72,https://www.tripadvisor.com/Hotel_Review-g186338-d199119-Reviews-The_Welbeck_Hotel-London_England.html
The Biltmore Mayfair,4.4,5,335,https://www.tripadvisor.com/Hotel_Review-g186338-d17150006-Reviews-The_Biltmore_Mayfair-London_England.html
The Chesterfield Mayfair,4.8,4,5828,https://www.tripadvisor.com/Hotel_Review-g186338-d192064-Reviews-The_Chesterfield_Mayfair-London_England.html
The Langham London,4.7,5,2692,https://www.tripadvisor.com/Hotel_Review-g186338-d187569-Reviews-The_Langham_London-London_England.html
The Soho Hotel,4.8,5,1884,https://www.tripadvisor.com/Hotel_Review-g186338-d497689-Reviews-The_Soho_Hotel-London_England.html
Charlotte Street Hotel,4.7,5,941,https://www.tripadvisor.com/Hotel_Review-g186338-d548133-Reviews-Charlotte_Street_Hotel-London_England.html
L'Oscar London,4.8,5,782,https://www.tripadvisor.com/Hotel_Review-g186338-d13867323-Reviews-L_oscar_London-London_England.html
